Concept,Notes
Photosynthesis converts sunlight into chemical energy stored in glucose molecules using chlorophyll as the primary pigment.,photosynthesis → sunlight → glucose; chlorophyll = primary pigment; light-dependent rxn
Mitochondria are double-membraned organelles that produce ATP through oxidative phosphorylation via the electron transport chain.,mitochondria = ATP factory; double membrane; oxidative phosphorylation; electron transport chain
DNA replication is semiconservative: each new double helix contains one original strand and one newly synthesized strand.,DNA replication = semiconservative; each helix = 1 old + 1 new strand
"The lac operon in E. coli is repressed in the absence of lactose and activated when lactose is present, inactivating the repressor protein.",lac operon: repressed w/o lactose; activated w/ lactose → repressor inactivated
"CRISPR-Cas9 uses guide RNA to direct the Cas9 endonuclease to a specific genomic locus, where it introduces a double-strand break.",CRISPR-Cas9: guide RNA → Cas9 → targeted locus → double-strand break
Meiosis produces four haploid gametes from one diploid cell through two successive divisions: meiosis I and meiosis II.,"meiosis: 1 diploid → 4 haploid gametes; 2 divisions (M-I, M-II)"
"The sodium-potassium pump actively transports 3 Na⁺ ions out and 2 K⁺ ions in per ATP hydrolyzed, maintaining membrane potential.","Na⁺/K⁺ pump: 3 Na⁺ out, 2 K⁺ in per ATP; maintains membrane potential"
Apoptosis is programmed cell death triggered by intrinsic (mitochondrial) or extrinsic (death receptor) pathways leading to caspase activation.,apoptosis = programmed cell death; intrinsic (mito) or extrinsic (death receptor) → caspase activation
"The central dogma: DNA is transcribed into mRNA, which is translated into protein by ribosomes with tRNA adapters.",central dogma: DNA → mRNA (transcription) → protein (translation); tRNA = adapter
G-protein coupled receptors span the membrane seven times and activate downstream second messengers like cAMP or IP3 upon ligand binding.,GPCR: 7 transmembrane spans; ligand → cAMP or IP3 (2nd messengers)
"The complement system involves a cascade of plasma proteins that enhance phagocytosis, lyse pathogens, and recruit immune cells via opsonization.",complement: plasma protein cascade; opsonization → phagocytosis ↑; lyses pathogens; recruits immune cells
Enzyme kinetics: Km represents the substrate concentration at half-maximal velocity; low Km = high affinity for substrate.,Km = [S] at ½ Vmax; low Km = high affinity; Michaelis-Menten
"Neurons transmit signals via action potentials: depolarization opens voltage-gated Na⁺ channels, repolarization opens K⁺ channels.",action potential: depolarization → Na⁺ channels open; repolarization → K⁺ channels open
Hemoglobin exhibits cooperative binding: O₂ binding at one subunit increases affinity of remaining subunits (positive allostery).,hemoglobin: cooperative O₂ binding; 1 subunit bound → affinity ↑ others; positive allostery
"The blood-brain barrier is formed by tight junctions between endothelial cells, astrocyte foot processes, and pericytes, restricting solute passage.",BBB: tight junctions + astrocyte feet + pericytes; restricts solute passage
"Oxidative stress occurs when reactive oxygen species exceed antioxidant defenses, damaging lipids, proteins, and DNA.",oxidative stress: ROS > antioxidants → lipid/protein/DNA damage
"Telomerase adds repetitive TTAGGG sequences to chromosome ends, preventing replicative senescence in stem cells and cancer cells.",telomerase: adds TTAGGG repeats to telomeres; prevents senescence; active in stem/cancer cells
The p53 tumor suppressor responds to DNA damage by halting the cell cycle at G1/S checkpoint or initiating apoptosis.,p53: DNA damage sensor; halts G1/S checkpoint or triggers apoptosis; tumor suppressor
Protein folding is aided by molecular chaperones like HSP70 that prevent aggregation and assist in reaching the native conformation.,chaperones (HSP70): prevent aggregation; guide protein → native conformation
